POS|word|tags|TagsMeaning|field2
MC1|One|N1|N1|Numbers
NNU1|dollar|I1|I1|Money generally
CC|and|Z5|Z5|Grammatical bin
MC|eighty-seven|N1 T1.2 T3 T1.3 N3.2|N1|Numbers
NNU2|cents|I1|I1|Money generally
NNU2|cents|I1|I1.1|Money: Affluence
NNU2|cents|I1|I1.2|Money: Debts
NNU2|cents|I1|I1.3|Money: Price
DD1|That|Z8 Z5|Z8|Pronouns etc.
VBDZ|was|A3+ Z5|A3|Being
DB|all|N5.1+|N5.1|Entirety; maximum
CC|And|Z5|Z5|Grammatical bin
MC|sixty|N1 T3|N1|Numbers
NNU2|cents|I1|I1|Money generally
IO|of|Z5|Z5|Grammatical bin
PPH1|it|Z8|Z8|Pronouns etc.
VBDZ|was|A3+ Z5|A3|Being
II|in|Z5|Z5|Grammatical bin
NNU2|pennies|I1|I1|Money generally
NNU2|pennies|I1|I1.1|Money: Affluence
NNU2|pennies|I1|I1.2|Money: Debts
NNU2|pennies|I1|I1.3|Money: Price
NP2|Pennies|I1|I1|Money generally
NP2|Pennies|I1|I1.1|Money: Affluence
NP2|Pennies|I1|I1.2|Money: Debts
NP2|Pennies|I1|I1.3|Money: Price
VVD|saved|I1.1 B3 A9+ S8+ A1.9 K5.1 S9|I1|Money generally
VVD|saved|I1.1 B3 A9+ S8+ A1.9 K5.1 S9|I1.1|Money: Affluence
VVD|saved|I1.1 B3 A9+ S8+ A1.9 K5.1 S9|I1.2|Money: Debts
VVD|saved|I1.1 B3 A9+ S8+ A1.9 K5.1 S9|I1.3|Money: Price
MC1|one|N1 T3 T1.2|N1|Numbers
CC|and|Z5|Z5|Grammatical bin
MC|two|N1 T3 T1.2|N1|Numbers
II|at|T1.1.2[i1.3.1 Z5|T1|Time
II|at|T1.1.2[i1.3.1 Z5|T1.1|Time: General
II|at|T1.1.2[i1.3.1 Z5|T1.1.1|Time: General: Past
II|at|T1.1.2[i1.3.1 Z5|T1.1.2|Time: General: Present; simultaneous
II|at|T1.1.2[i1.3.1 Z5|T1.1.3|Time: General: Future
II|at|T1.1.2[i1.3.1 Z5|T1.2|Time: Momentary
II|at|T1.1.2[i1.3.1 Z5|T1.3|Time: Period
AT1|a|T1.1.2[i1.3.2 Z5|T1|Time
AT1|a|T1.1.2[i1.3.2 Z5|T1.1|Time: General
AT1|a|T1.1.2[i1.3.2 Z5|T1.1.1|Time: General: Past
AT1|a|T1.1.2[i1.3.2 Z5|T1.1.2|Time: General: Present; simultaneous
AT1|a|T1.1.2[i1.3.2 Z5|T1.1.3|Time: General: Future
AT1|a|T1.1.2[i1.3.2 Z5|T1.2|Time: Momentary
AT1|a|T1.1.2[i1.3.2 Z5|T1.3|Time: Period
NNT1|time|T1.1.2[i1.3.3 T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@|T1|Time
NNT1|time|T1.1.2[i1.3.3 T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@|T1.1|Time: General
NNT1|time|T1.1.2[i1.3.3 T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@|T1.1.1|Time: General: Past
NNT1|time|T1.1.2[i1.3.3 T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@|T1.1.2|Time: General: Present; simultaneous
NNT1|time|T1.1.2[i1.3.3 T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@|T1.1.3|Time: General: Future
NNT1|time|T1.1.2[i1.3.3 T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@|T1.2|Time: Momentary
NNT1|time|T1.1.2[i1.3.3 T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@|T1.3|Time: Period
II|by|Z5|Z5|Grammatical bin
VVG|bulldozing|A1.1.2|A1|GENERAL AND ABSTRACT TERMS
VVG|bulldozing|A1.1.2|A1.1.1|General actions, making etc.
VVG|bulldozing|A1.1.2|A1.1.2|Damaging and destroying
VVG|bulldozing|A1.1.2|A1.2|Suitability
VVG|bulldozing|A1.1.2|A1.3|Caution
VVG|bulldozing|A1.1.2|A1.4|Chance, luck
VVG|bulldozing|A1.1.2|A1.5|Use
VVG|bulldozing|A1.1.2|A1.5.1|Using
VVG|bulldozing|A1.1.2|A1.5.2|Usefulness
VVG|bulldozing|A1.1.2|A1.6|Physical/mental
VVG|bulldozing|A1.1.2|A1.7|Constraint
VVG|bulldozing|A1.1.2|A1.8|Inclusion/Exclusion
VVG|bulldozing|A1.1.2|A1.9|Avoiding
VVG|bulldozing|A1.1.2|A10|Open/closed; Hiding/Hidden; Finding; Showing
VVG|bulldozing|A1.1.2|A11|Importance
VVG|bulldozing|A1.1.2|A11.1|Importance: Important
VVG|bulldozing|A1.1.2|A11.2|Importance: Noticeability
VVG|bulldozing|A1.1.2|A12|Easy/difficult
VVG|bulldozing|A1.1.2|A13|Degree
VVG|bulldozing|A1.1.2|A13.1|Degree: Non-specific
VVG|bulldozing|A1.1.2|A13.2|Degree: Maximizers
VVG|bulldozing|A1.1.2|A13.3|Degree: Boosters
VVG|bulldozing|A1.1.2|A13.4|Degree: Approximators
VVG|bulldozing|A1.1.2|A13.5|Degree: Compromisers
VVG|bulldozing|A1.1.2|A13.6|Degree: Diminishers
VVG|bulldozing|A1.1.2|A13.7|Degree: Minimizers
VVG|bulldozing|A1.1.2|A14|Exclusivizers/particularizers
VVG|bulldozing|A1.1.2|A15|Safety/Danger
AT|the|Z5|Z5|Grammatical bin
NN1|grocer|F1/S2mf|F1|Food
CC|and|Z5|Z5|Grammatical bin
AT|the|Z5|Z5|Grammatical bin
NN1|vegetable|F1 X9.1-/S2mf|F1|Food
NN1|man|S2.2m|S2|People
NN1|man|S2.2m|S2.1|People:- Female
NN1|man|S2.2m|S2.2|People:- Male
CC|and|Z5|Z5|Grammatical bin
AT|the|Z5|Z5|Grammatical bin
NN1|butcher|F1/S2mf L1-/S2mf|F1|Food
CS|until|Z5|Z5|Grammatical bin
PN1|one|Z8|Z8|Pronouns etc.
GE|'s|Z5|Z5|Grammatical bin
NN2|cheeks|B1 S1.2.4-|B1|Anatomy and physiology
VVN|burned|O4.6+ A1.5.1|O4|Physical attributes
VVN|burned|O4.6+ A1.5.1|O4.1|General appearance and physical properties
VVN|burned|O4.6+ A1.5.1|O4.2|Judgement of appearance (pretty etc.)
VVN|burned|O4.6+ A1.5.1|O4.3|Colour and colour patterns
VVN|burned|O4.6+ A1.5.1|O4.4|Shape
VVN|burned|O4.6+ A1.5.1|O4.5|Texture
VVN|burned|O4.6+ A1.5.1|O4.6|Temperature
IW|with|Z5|Z5|Grammatical bin
AT|the|Z5|Z5|Grammatical bin
JJ|silent|X3.2- A10-|X3|Sensory
JJ|silent|X3.2- A10-|X3.1|Sensory:- Taste
JJ|silent|X3.2- A10-|X3.2|Sensory:- Sound
